price,unit,location,bedrooms,baths,state
Price on call,,Kodesoh Street (close to Cash ‘N’ Carry),,,Lagos
"
                                                        ₦1,200,000                                                    ",, Ogudu,,,Lagos
Price on call,,Allen-Avenue,,,Lagos
"
                                                        ₦600,000                                                    ",,Goodwill Estate,,,Lagos
"
                                                        ₦3,000,000                                                    ",,Paradise 2 Estate,,,Lagos
"
                                                        ₦1,800,000                                                    ",,Olugborogan,,,Lagos
"
                                                        ₦4,000,000                                                    ",,Akoka,,,Lagos
"
                                                        ₦350,000                                                    ",,Onike,,,Lagos
Price on call,, Fola Osibo,,,Lagos
"
                                                                                        ₦60 million                                                                                     ",,"Millenium Estate, Gbagada Lagos",,,Lagos
"
                                                                                        ₦180 million                                                                                     ",,"Parkview Estate, Ikoyi",,,Lagos
"
                                                        ₦1,300,000                                                    ",,Dolphin Est,,,Lagos
"
                                                        ₦500,000                                                    ",,L/Island,,,Lagos
"
                                                        ₦5,000,000                                                    ",,Waziri Ibrahim ,,,Lagos
"
                                                        ₦8,500,000                                                    ",,Idowu Martins ,,,Lagos
"
                                                        ₦1,300,000                                                    ",,Ifako/Gbagada,,,Lagos
