price,unit,location,bedrooms,baths,parking_lots,state
"
                    ₦ 1 200 000
                ","
                        Per Year
                    ",,3,3,3,Lagos
"
                    ₦ 2 700 000
                ","
                        Per Year
                    ","Park Ln, Apapa, Apapa",2,3,,Lagos
"
                    ₦ 3 500 000
                ","
                        Per Year
                    ","35 Norman Williams St, Ikoyi-obalende, Ikoyi-obalende",3,3,1,Lagos
"
                    ₦ 8 000 000
                ","
                        Per Year
                    ","ONIRU, Victoria Island, Lekki",2,2,,Lagos
"
                    ₦ 90 000
                ","
                        Per Day
                    ","OZUMBA MBADIEWE, Victoria Island, Lekki",3,3,,Lagos
"
                    ₦ 18 000 000
                ","
                        Per Year
                    ","Ocean Parade Banana Island Ikoyi, Lagos, Banana Island, Lekki",4,4,2,Lagos
"
                    ₦ 35 000
                ","
                        Per Day
                    ","Lekki, Victoria Island, Lekki",2,2,2,Lagos
"
                    ₦ 70 000
                ","
                        Per Day
                    ","ONIRU, Victoria Island, Lekki",4,4,,Lagos
"
                    ₦ 55 000
                ","
                        Per Day
                    ","ONIRU, Victoria Island, Lekki",2,2,,Lagos
"
                    ₦ 3 000 000
                ","
                        Per Year
                    ","Admiralty Way Lekki Phase I, Lekki, Lekki",2,2,,Lagos
"
                    ₦ 12 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",5,6,8,Abuja
"
                    ₦ 13 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",4,5,6,Abuja
"
                    ₦ 2 500 000
                ","
                        Per Year
                    ","Garki, Garki I, Garki I",2,2,2,Abuja
"
                    ₦ 15 000 000
                ","
                        Per Year
                    ","Maitama, Maitama, Maitama",5,6,6,Abuja
"
                    ₦ 12 000 000
                ","
                        Per Year
                    ","Asokoro, Asokoro, Asokoro",3,3,6,Abuja
"
                    ₦ 7 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",3,4,4,Abuja
"
                    ₦ 2 500 000
                ","
                        Per Year
                    ","Emeka Anyaoku St, Garki II, Garki II",3,4,,Abuja
"
                    ₦ 10 000 000
                ","
                        Per Year
                    ","Asokoro, Asokoro",3,3,4,Abuja
"
                    ₦ 70 000
                ","
                        Per Year
                    ","Wuse II, Wuse II",,,,Abuja
"
                    ₦ 5 000 000
                ","
                        Per Year
                    ","Asokoro, Asokoro",2,3,6,Abuja
"
                    ₦ 4 800 000
                ","
                        Per Year
                    ","Jabi, Jabi",3,4,3,Abuja
"
                    ₦ 8 000 000
                ","
                        Per Year
                    ","Jabi, Jabi",6,8,8,Abuja
"
                    ₦ 15 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",4,5,5,Abuja
"
                    ₦ 5 000 000
                ","
                        Per Year
                    ","Maitama, Maitama, Maitama",4,5,5,Abuja
"
                    ₦ 10 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",3,4,4,Abuja
"
                    ₦ 5 000 000
                ","
                        Per Year
                    ","Jabi, Jabi",3,3,4,Abuja
"
                    ₦ 8 000 000
                ","
                        Per Year
                    ","Maitama, Maitama",3,4,4,Abuja
"
                    ₦ 70 000
                ","
                        Per Year
                    ","Wuse II, Wuse II",,,,Abuja
"
                    ₦ 6 000 000
                ","
                        Per Year
                    ","Asokoro, Asokoro",4,5,4,Abuja
"
                    ₦ 7 500 000
                ","
                        Per Year
                    ","Wuse2, Wuse II, Wuse II",3,4,4,Abuja
"
                    ₦ 4 000 000
                ","
                        Per Year
                    ","Wuse II, Wuse II",4,4,,Abuja
"
                    ₦ 3 500 000
                ","
                        Per Year
                    ","Jakande , Lekki, Lekki",3,4,3,Lagos
"
                    ₦ 7 500 000
                ","
                        Per Year
                    ","Chief Yesufu Abiodun Oniru Road, Victoria Island, Lekki",3,4,,Lagos
"
                    ₦ 5 500 000
                ","
                        Per Year
                    ","bera estate chevron lekki lagos, Lekki, Lekki",4,4,,Lagos
"
                    ₦ 3 500 000
                ","
                        Per Year
                    ","Ologolo, Lekki, Lekki",4,4,,Lagos
"
                    ₦ 5 500 000
                ","
                        Per Year
                    ","Off Glover Road, Ikoyi-obalende, Ikoyi-obalende",3,3,,Lagos
"
                    ₦ 5 500 000
                ","
                        Per Year
                    ","PARKVIEW ESTATE, IKOYI, Ikoyi-obalende, Ikoyi-obalende",4,4,,Lagos
"
                    ₦ 25 000 000
                ","
                        Per Year
                    ","Festival Road Oniru Victoria Island Lagos, Victoria Island, Lekki",3,3,,Lagos
