price,unit,location,bedrooms,baths,state
"₦110,000,000.00 ","₦110,000,000.00 ",", VGC, Lekki, Lagos, Nigeria",5,0f,
"₦100,000,000.00 ","₦100,000,000.00 ",", Oke-Ira Nla, Ajah, Eti-Osa, Lagos, Nigeria",7,0f,
"₦880,000,000.00 ","₦880,000,000.00 ",", third avenue, Banana Island, Ikoyi, Lagos, Nigeria",4,0f,
"₦220,000,000.00 ","₦220,000,000.00 ",", Parkview Estate, Ikoyi, Lagos, Nigeria",0,,
"₦900,000,000.00 ","₦900,000,000.00 ",", Alexander Avenue, Ikoyi, Lagos, Nigeria",4,0f,
"₦700,000,000.00 ","₦700,000,000.00 ",", Awolowo, Ikoyi, Lagos, Nigeria",,,
"₦250,000,000.00 ","₦250,000,000.00 ",", Layi Ajayi Bembe Street, Parkview Estate,, Ikoyi, Lagos, Nigeria",6,0f,
"₦550,000,000.00 ","₦550,000,000.00 ",", Adeola Hopewell Street,, Victoria Island, Eti-Osa, Lagos, Nigeria",5,0f,
"₦130,000,000.00 ","₦130,000,000.00 ",", LEKKI – EPE EXPRESSWAY, Lagos, Nigeria",0,,
"₦300,000,000.00 ","₦300,000,000.00 ",", Ologun Agbaje Street, Off Adeola Odeku Street,, Victoria Island, Eti-Osa, Lagos, Nigeria",6,0f,
"₦880,000,000.00 ","₦880,000,000.00 ",", Banana Island,, Ikoyi, Lagos, Nigeria",5,0f,
"₦760,000,000.00 ","₦760,000,000.00 ",", Banana Island,, Ikoyi, Lagos, Nigeria",5,0f,
"₦330,000,000.00 ","₦330,000,000.00 ",", Abagbom Close,, Victoria Island, Eti-Osa, Lagos, Nigeria",8,0f,
"₦220,000,000.00 ","₦220,000,000.00 ",", Second Avenue, Banana Island,, Ikoyi, Lagos, Nigeria",4,0f,
"₦280,000,000.00 ","₦280,000,000.00 ",", Parkview/Bourdillon, Ikoyi, Lagos, Nigeria",4,0f,
"₦700,000,000.00 ","₦700,000,000.00 ",", IDOWU TAYLOR STREET,, Victoria Island, Eti-Osa, Lagos, Nigeria",0,,
"₦40,000,000.00 ","₦40,000,000.00 ",", Close1 House 7, Mayfair Gardens, Awoyaya, Ibeju/Lekki, Lagos, Nigeria",3,2f,
"₦400,000,000.00 ","₦400,000,000.00 ",", Aboyade Cole, Victoria Island, Lagos, Nigeria",0,0f,
"₦4,500,000,000.00 ","₦4,500,000,000.00 ",", Ahmadu Bello, Victoria Island, Lagos, Nigeria",0,,
